,Label,V0_600,V1_600,V2_600,V0_550,V1_550,V2_550,V0_500,V1_500,V2_500,V0_450,V1_450,V2_450
94,1.0,-0.05942000000000001,-0.007245999999999999,-0.0512,-0.05177999999999999,-0.008525,-0.07731,-0.04021,-0.005031,-0.1196,-0.0181,0.01039,-0.1018
95,1.0,-0.058929999999999996,-0.007378,-0.05322999999999999,-0.05062,-0.008525,-0.08125,-0.039760000000000004,-0.005124,-0.1234,-0.01842,0.010190000000000001,-0.1026
96,1.0,-0.05867000000000001,-0.00759,-0.054920000000000004,-0.04961,-0.008584,-0.0852,-0.03945,-0.005229,-0.1265,-0.01865,0.010029999999999999,-0.1029
97,1.0,-0.05805,-0.007517,-0.05646,-0.04882,-0.008662999999999999,-0.08854,-0.039310000000000005,-0.005382,-0.1292,-0.019209999999999998,0.009738,-0.1032
98,1.0,-0.05825,-0.007633,-0.05658,-0.04886,-0.00873,-0.08847000000000001,-0.039189999999999996,-0.005445,-0.1289,-0.019030000000000002,0.009599,-0.1035
99,1.0,-0.058370000000000005,-0.007614,-0.056510000000000005,-0.048839999999999995,-0.008701,-0.08843999999999999,-0.0391,-0.005455,-0.1289,-0.018930000000000002,0.009585,-0.1033
100,2.0,-0.02426,-0.002348,-0.003715,-0.04042,-0.003432,-0.005483,-0.050839999999999996,-0.001397,-0.00186,-0.030780000000000002,0.006640000000000001,0.004302
101,2.0,-0.03741,-0.0037170000000000003,-0.007624,-0.051739999999999994,-0.00489,-0.009912,-0.06437999999999999,-0.0032630000000000003,-0.006554000000000001,-0.05002,0.0073349999999999995,0.004398
102,2.0,-0.04608,-0.004834000000000001,-0.01137,-0.059379999999999995,-0.0061600000000000005,-0.01441,-0.07052,-0.004654,-0.01093,-0.054479999999999994,0.007062000000000001,9.435e-05
103,2.0,-0.04265,-0.004368,-0.009911,-0.05607,-0.005734,-0.01251,-0.06775,-0.004601,-0.00902,-0.054560000000000004,0.004659,0.003831
104,2.0,-0.056670000000000005,-0.006187,-0.0174,-0.06953,-0.007993,-0.02181,-0.07761,-0.00614,-0.01823,-0.060070000000000005,0.004541,-0.003907
105,2.0,-0.060489999999999995,-0.006732999999999999,-0.02017,-0.07329,-0.008836,-0.0252,-0.07993,-0.006722,-0.0211,-0.06131,0.003971,-0.0063159999999999996
106,2.0,-0.06371,-0.007106,-0.022719999999999997,-0.07664,-0.009599,-0.0283,-0.08208,-0.007214,-0.023819999999999997,-0.06214,0.0036119999999999998,-0.008638
107,2.0,-0.06699,-0.0077209999999999996,-0.02512,-0.07934,-0.0102,-0.031139999999999998,-0.08407,-0.007928,-0.02677,-0.06293,0.003046,-0.010759999999999999
108,2.0,-0.06558,-0.007439,-0.02383,-0.07801,-0.009883,-0.02982,-0.08309,-0.007902,-0.025580000000000002,-0.06253,0.00268,-0.009689
109,2.0,-0.07225,-0.008477,-0.029539999999999997,-0.08402000000000001,-0.01133,-0.036410000000000005,-0.08705,-0.008859,-0.03151,-0.06426,0.002473,-0.01444
110,2.0,-0.07453,-0.008872,-0.0317,-0.08606,-0.01193,-0.03884,-0.08826,-0.009335,-0.033510000000000005,-0.06481,0.00209,-0.01593
111,2.0,-0.07672000000000001,-0.00924,-0.03365,-0.0879,-0.01241,-0.04099,-0.08918999999999999,-0.009725,-0.03533,-0.0652,0.001883,-0.01725
112,3.0,-0.03336,-0.003788,-0.007811,-0.06642,-0.009182,-0.02174,-0.06035,-0.001295,-0.004823,-0.04255,0.004627,0.004555
113,3.0,-0.05803,-0.007705,-0.022940000000000002,-0.07923,-0.01312,-0.035089999999999996,-0.08141,-0.0055450000000000004,-0.02483,-0.05147,0.003011,-0.01199
114,3.0,-0.06619,-0.008841,-0.029160000000000002,-0.08647,-0.015340000000000001,-0.04332,-0.08623,-0.008051,-0.03125,-0.05284,0.002055,-0.01526
115,3.0,-0.06356,-0.008496,-0.02737,-0.08356,-0.01445,-0.04003,-0.08569,-0.009537,-0.03218,-0.052610000000000004,0.001001,-0.01526
116,3.0,-0.08082,-0.01204,-0.04455,-0.09717999999999999,-0.01949,-0.05786,-0.09337000000000001,-0.01281,-0.0469,-0.05594,0.000299,-0.024
117,3.0,-0.08566,-0.013080000000000001,-0.05043,-0.1009,-0.02104,-0.06321,-0.09519,-0.014180000000000002,-0.05117,-0.056870000000000004,-0.0001457,-0.02621
118,3.0,-0.09011,-0.014130000000000002,-0.055229999999999994,-0.1041,-0.02228,-0.0677,-0.09672,-0.01516,-0.054529999999999995,-0.057920000000000006,-0.0004343,-0.02798
119,3.0,-0.09378,-0.015090000000000001,-0.059910000000000005,-0.1069,-0.02348,-0.07155,-0.09837,-0.01605,-0.05747000000000001,-0.058379999999999994,-0.0006634,-0.0293
120,3.0,-0.09208,-0.014580000000000001,-0.05782999999999999,-0.1055,-0.02277,-0.06972,-0.09777999999999999,-0.01583,-0.056220000000000006,-0.057879999999999994,-0.0006489,-0.02862
121,3.0,-0.09979,-0.01658,-0.06757,-0.1113,-0.0254,-0.07818,-0.1008,-0.017490000000000002,-0.062220000000000004,-0.05943,-0.001025,-0.03177
122,3.0,-0.1025,-0.01722,-0.07106,-0.113,-0.026269999999999998,-0.081,-0.102,-0.01828,-0.06445,-0.05975,-0.001213,-0.03266
123,3.0,-0.105,-0.01794,-0.0743,-0.1144,-0.02705,-0.08352000000000001,-0.1028,-0.0189,-0.06627999999999999,-0.060489999999999995,-0.001385,-0.03349
